True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
126.0,4.5,208,7.429,1.757048918082585,1.729961921423838,3.218395916910213
126.0,4.5,208,7.429,3.3600303242403626,3.292657224529586,6.164372432448456
126.0,4.5,208,7.429,2.794124300567109,2.7385941643368645,5.08784599714699
126.0,4.5,208,7.429,1.8004219910687032,1.7716263011886224,3.339940631757137
126.0,4.5,208,7.429,1.7726177489008184,1.7399688861531024,3.28660467671282
126.0,4.5,208,7.429,0.9605984242740598,0.9409273301762451,1.768901501773916
126.0,4.5,208,7.429,1.9962829356389846,1.9650373669933356,3.6711537082610044
126.0,4.5,208,7.429,0.7146560471372335,0.7006613184570142,1.3003565844318772
126.0,4.5,208,7.429,2.2854435644568847,2.2396069568484895,4.102573990045399
126.0,4.5,208,7.429,0.13996952352859857,0.13700349782975768,0.25835488903058074
126.0,4.5,208,7.429,0.7770524763259953,0.7601794431475843,1.421913138523172
126.0,4.5,208,7.429,3.746791562156421,3.68336709296,6.857854145010221
126.0,4.5,208,7.429,3.101676435094694,3.0398925455102694,5.759774609154318
126.0,4.5,208,7.429,3.3268485137879704,3.2643409560361096,6.08666931100036
126.0,4.5,208,7.429,0.17260024785765354,0.1694737318902903,0.3181440878081112
126.0,4.5,208,7.429,0.4502466235052151,0.44161811780679855,0.835115531156072
126.0,4.5,208,7.429,0.5037086454352715,0.4939332075753878,0.9244196941294217
126.0,4.5,208,7.429,3.938073794256384,3.8854497065108866,7.177093890390528
126.0,4.5,208,7.429,4.42780951147841,4.34597858157897,8.068392217145693
126.0,4.5,208,7.429,4.688181253326136,4.605681981868004,8.525870556565216
126.0,4.5,208,7.429,4.679743389858256,4.599852636264414,8.722547202331809
126.0,4.5,208,7.429,4.152393904222051,4.08992556624163,7.501307670529054
126.0,4.5,208,7.429,4.3983132023481915,4.324787340142039,8.11365004710516
126.0,4.5,208,7.429,5.50572272832788,5.410096907298094,10.061983652822102
126.0,4.5,208,7.429,5.2124194018011405,5.126814437836378,9.467145750098748
126.0,4.5,208,7.429,4.058927579908129,3.9780903900283584,7.40776240975798
126.0,4.5,208,7.429,5.229487888189269,5.112968415536107,9.48210742754301
126.0,4.5,208,7.429,4.345279889652502,4.257731017756678,8.086419475155552
126.0,4.5,208,7.429,4.716777844191145,4.6448858370875685,8.698733787063011
126.0,4.5,208,7.429,5.732982974851909,5.63312625179297,10.523018315761348
126.0,4.5,208,7.429,4.374512503735991,4.29921918731741,8.078152673383803
126.0,4.5,208,7.429,4.316586870416358,4.232260610781126,7.861728222435293
126.0,4.5,208,7.429,4.767367995444496,4.695411057847784,8.828397037490214
126.0,4.5,208,7.429,6.028178273087421,5.875975873697038,11.017974300226877
126.0,4.5,208,7.429,5.942798077758004,5.837687458277698,10.844900924928115
